fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,02,ANDHRA PRADESH,0211,Y.S.R,1024708,384516.865000002,2,0,0,9,543,37616,2,0,76172,0,5229,0,7.69033730000004,1,2,181448,339606,0,243944,447938,37625,7.69033730000004,1,41,82.99,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,5442.5,1,0,0,6,483,46642,16,2,105961,0,7521,0,0.8708,10,16,256726,503601,0,340835,647918,46648,0.8708,8,41,21.1,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,3588.4825,1,0,0,714,376,22828,4,0,113452,0,2238,0,0.1435393,4,4,146995,243823,0,233043,359322,23542,0.1435393,3,40,11.31,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,3037.9135978836,2,0,0,30,439,47290,189,2,44126,152,135830,0,5.7416567,70,106,189431,366852,0,214595,404442,47320,5.7416567,106,78,30.14,0.07,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,270.860779155578,4,37,0,5,39,5260,19919,1773,4258,68,468,0,53.9527585999995,4503,5418,30894,49249,0,36289,55810,5265,53.9527585999995,15066,57,13.13,86.83,100,NA
2025-2026,April,02,ANDHRA PRADESH,0206,KRISHNA,750506,272.494326991833,5,564,0,126,70,33337,205577,88150,119489,3177,5599,0,560.185662600001,34694,52765,174780,323281,0,220460,389938,33463,560.185662600001,115790,27,80.96,3.22,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,196.787364778933,4,99,0,45,592,42995,26734,6737,193110,478,21156,1.68178,54.2909141,5845,7768,364372,700263,0,451899,833643,43040,52.6091341,15783,35,6.35,3.34,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,83.31702285299,4,135,0,70,630,51368,49534,11392,136293,1895,29249,0,41.2702541000001,10608,13159,267986,469070,0,358871,607388,51438,41.2702541000001,32265,41,44.33,16.45,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,308.514212010217,4,243,0,89,324,37709,82996,31254,148910,4521,31673,0,256.0544554,19640,23523,215084,384519,0,274727,474608,37798,256.0544554,56963,46,38.34,59.66,100,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,238.59424429578,4,560,0,82,200,47925,95368,16907,44174,33467,135915,0,227.5425589,19219,25785,189458,367084,0,214989,405297,48007,227.5425589,60616,77,54.93,34.04,100,NA
2025-2026,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,283320,2790.51370967742,2,0,0,391,396,24359,186,134,61994,0,1778,0,5.1903555,84,88,131371,226674,0,184280,302981,24750,5.1903555,84,43,10.38,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,660368.86,1,0,0,26,244,16271,1,0,69316,0,5530,0,6.6036886,1,1,87880,154035,0,136272,228292,16297,6.6036886,1,49,85.08,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,183.139780439121,1,3,0,19,720,42296,501,188,193040,16,21162,0,0.917530299999998,261,314,364306,700092,0,451537,832910,42315,0.917530299999998,330,35,2.67,0.05,100,NA
2025-2026,April,02,ANDHRA PRADESH,0210,CHITTOOR,798152,671.690535117057,2,3,0,172,630,50163,598,323,109085,15,13393,0,4.0167094,270,346,206330,382598,0,274715,493341,50335,4.0167094,405,63,35.73,0.33,100,NA
2025-2026,April,02,ANDHRA PRADESH,0212,ANANTAPUR,1095336,7404.78806451613,2,0,0,0,529,48377,31,15,93339,0,17268,0,2.2954843,12,18,250260,471613,0,321589,597545,48377,2.2954843,20,51,71.87,0.03,100,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,685.508923076923,2,2,0,865,368,22822,65,51,113451,0,2240,0,0.4455808,26,35,146996,243843,0,233289,359685,23687,0.4455808,26,40,11.64,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0219,BAPATLA,917967,482.289953051643,2,0,0,30,441,31733,213,38,135769,0,14618,0,1.0272776,102,141,204931,381665,0,270345,477027,31763,1.0272776,93,27,8.9,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0221,NANDYAL,979833,0,0,0,0,0,490,40751,0,0,109616,0,13455,0,0,0,0,205115,396288,0,270656,506351,40751,0,0,42,68.61,0.14,0,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,364.891694660315,2,74,0,47,382,47377,3989,862,44116,1823,135727,0,14.5555297,1675,2305,189325,366700,0,214668,404588,47424,14.5555297,2420,77,29.57,14.35,100,NA
2025-2026,April,02,ANDHRA PRADESH,0201,SRIKAKULAM,2725348,231.577739271431,7,3436,0,489,15,50689,1368519,123827,59054,80038,39465,0,3169.1853617,179623,223410,372313,657666,0,441394,751044,51178,3169.1853617,1002917,46,27.56,86.35,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,262.484003506515,8,120,0,6,7,5386,113503,8131,4262,715,467,0,297.9272185,13986,16850,31064,49570,0,36444,56103,5392,297.9272185,86760,56,5.19,99.06,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,240.458918186987,7,394,0,140,201,52599,283219,72696,136461,10595,29295,0,681.025343500003,39633,50814,268325,469748,0,359213,608129,52739,681.025343500003,182826,41,41.03,58.34,100,NA
2025-2026,April,02,ANDHRA PRADESH,0210,CHITTOOR,798152,272.470130521061,8,339,0,459,22,51327,244405,64960,109215,7566,13402,5,670.9306225,28468,37863,206756,383106,0,274691,492901,51786,665.9306225,153326,63,60.61,74.54,100,NA
2025-2026,April,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,1603631,287.722092199331,8,855,0,130,8,68940,331651,7986,9726,301604,409558,0,954.233196000004,38268,58247,227685,447204,0,253959,486501,69070,954.233196000004,172509,82,49.72,62.39,100,NA
2025-2026,April,02,ANDHRA PRADESH,0219,BAPATLA,917967,272.620923490437,7,322,0,399,64,33991,170397,43932,136048,6397,14639,0,464.537875000001,21566,30513,205412,382643,0,271064,478501,34390,464.537875000001,89658,25,54.3,64.16,100,NA
2025-2026,April,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,641749,282.504099040603,7,292,0,93,80,38549,127059,15908,64138,5114,24690,0,358.9468832,16838,25240,209189,397695,0,282525,523104,38642,358.9468832,69081,58,65.01,82.98,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,252.1818872751,7,97,0,44,58,17009,58248,26693,69396,1107,5531,0,146.8909057,8219,11166,88000,154292,0,136531,228772,17053,146.8909057,31989,47,94.6,92.01,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,195.733179061788,6,578,0,65,182,44159,308374,71420,193606,11332,21229,1.68178,605.272013599999,44892,67340,365173,702024,0,452440,835011,44224,603.590233599999,174679,34,19.45,41.01,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,212.070560094553,7,368,0,96,233,52266,271597,69902,136441,10495,29292,0,575.977279100002,37996,48680,268305,469692,0,359127,607953,52362,575.977279100002,175158,41,42.51,61.18,100,NA
2025-2026,April,02,ANDHRA PRADESH,0210,CHITTOOR,798152,270.128468532593,8,323,0,443,51,51268,217765,57818,109207,6775,13400,5,593.2452595,26536,35039,206728,383048,0,274655,492821,51711,588.2452595,137195,63,58.71,73.06,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,258.204403371163,6,1477,0,81,80,38952,605963,47493,34333,10880,16604,0.5,1565.1231488,93935,114870,232261,382331,0,289260,456088,39033,1564.6231488,437005,58,25.12,93.28,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,299.21209640674,7,540,0,7,13,24544,265998,96986,121208,18671,23324,0,795.8981922,36724,50704,172531,319090,0,215151,388065,24551,795.8981922,157112,38,70.09,84.4,100,NA
2025-2026,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,700410,266.364314481989,7,366,0,76,30,37650,301181,63890,66788,11320,12619,0,802.238706,38339,51535,196508,339961,0,252032,424521,37726,802.238706,176334,57,55.49,74.11,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,294.611307244024,6,514,0,149,100,38262,277125,108416,149000,17763,31717,0,816.441585200001,41232,51680,215328,384901,0,274772,474633,38411,816.441585200001,186359,46,34.08,91.67,100,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,257.157558542587,8,1823,0,128,5,49477,694409,86894,44331,288898,136710,0,1785.7252307,83067,120511,190394,369081,0,215469,406474,49605,1785.7252307,422596,77,49.25,82.1,100,NA
2025-2026,April,02,ANDHRA PRADESH,0226,KAKINADA,770942,258.748566531889,5,742,0,242,78,29441,191675,53672,90907,2362,8590,2,497.956314899999,32541,38400,198898,340772,0,294181,481257,29683,495.956314899999,100505,49,45.78,68.19,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,262.608263704574,5,84,0,6,12,5310,47849,3594,4261,391,468,0,125.655428100001,9414,11137,30941,49370,0,36380,55988,5316,125.655428100001,36753,56,6.26,93.45,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,245.619909546286,4,161,0,82,391,52063,76061,18782,136338,3442,29271,0,186.8209594,15690,19542,268043,469220,0,359026,607747,52145,186.8209594,48775,41,40.7,16.19,100,NA
2025-2026,April,02,ANDHRA PRADESH,0212,ANANTAPUR,1095336,236.074967980585,6,274,0,34,267,49112,93537,12627,93373,4518,17276,0,220.8174428,13775,21136,250317,471733,0,321948,598277,49146,220.8174428,52204,50,41.54,37.27,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,251.845504359575,4,262,0,60,179,47986,94734,21852,106147,1321,7536,5.15,243.733320099999,20080,29439,257094,504476,0,341698,649846,48046,238.583320099999,51872,40,53.12,12.46,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,280.435341060211,4,904,0,64,182,38677,266947,19792,34284,4611,16594,0.5,749.113729900001,57677,68589,231635,381378,0,289183,455894,38741,748.613729900001,195781,58,26.72,55.67,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,256.963761378186,5,239,0,4,60,24519,85910,31382,120923,6217,23258,0,220.7575674,16375,21653,171999,318053,0,215041,387771,24523,220.7575674,50687,38,61.47,12.65,100,NA
2025-2026,April,02,ANDHRA PRADESH,0226,KAKINADA,770942,274.451218461084,4,228,0,210,180,29256,54298,14377,90771,627,8586,2,151.021522599999,12598,14459,198481,340056,0,294041,480983,29466,149.021522599999,26975,49,31.43,17.89,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,211.965769976892,5,90,0,6,12,5325,59281,4139,4257,456,468,0,125.655428100001,10088,11970,30962,49407,0,36389,56010,5331,125.655428100001,45554,56,7.55,98.38,100,NA
2025-2026,April,02,ANDHRA PRADESH,0206,KRISHNA,750506,191.746168308,9,938,0,146,43,36040,568339,236761,120064,8618,5617,0,1089.76825550001,61250,96281,175970,325439,0,220968,390992,36186,1089.76825550001,316484,25,87.59,91.61,100,NA
2025-2026,April,02,ANDHRA PRADESH,0211,Y.S.R,1024708,241.242894838432,6,625,0,98,85,39362,271991,55266,76442,2681,5247,0,656.158962100001,40359,55526,182287,341470,0,244653,449592,39460,656.158962100001,177827,39,38.12,87.95,100,NA
2025-2026,April,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,1603631,260.072458153691,7,411,0,128,56,67946,157720,5368,9720,144369,409262,0,410.186281000001,20604,30777,227503,446844,0,253574,485787,68074,410.186281000001,81963,82,42.34,54.71,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,212.420624003748,6,367,0,4,56,24482,153701,57184,120989,10503,23278,0,326.4926233,23816,32330,172157,318386,0,215055,387838,24486,326.4926233,89711,38,68.55,80.65,100,NA
2025-2026,April,02,ANDHRA PRADESH,0221,NANDYAL,979833,165.310471614026,6,360,0,34,146,42305,216533,60342,109986,13108,13497,0,357.9517235,33479,48974,205758,397625,0,271165,507456,42339,357.9517235,125128,41,72.05,93.15,100,NA
2025-2026,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,700410,254.824214834573,6,224,0,71,68,37159,163456,33101,66721,5788,12597,0,416.5254686,24448,32613,196236,339454,0,251905,424242,37230,416.5254686,95354,57,51.28,64.92,100,NA
2025-2026,April,02,ANDHRA PRADESH,0201,SRIKAKULAM,2725348,227.633039304695,4,1476,0,434,151,49399,376698,35577,58806,23557,39335,0,857.489106399999,76227,90821,370383,654177,0,440675,749564,49833,857.489106399999,279101,46,24.83,39.85,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,281.799482013432,4,46,0,43,113,16649,15039,7666,69344,281,5531,0,42.3798241,3401,4397,87922,154135,0,136440,228600,16692,42.3798241,8145,48,90.35,1.37,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,256.261927350545,4,161,0,82,392,51726,72898,17673,136333,2980,29269,0,186.8098198,15529,19329,268040,469198,0,358950,607593,51808,186.8098198,46786,41,39.86,16.55,100,NA
2025-2026,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,466076,277.813939233135,4,441,0,860,64,21385,73494,26907,71149,1374,3215,0,204.1765765,16135,17752,122662,196068,0,168910,260581,22245,204.1765765,40794,50,37.56,37.37,100,NA
2025-2026,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,283320,272.368104248947,5,145,0,560,176,24941,69123,19142,62190,716,1797,0,188.2690047,12887,16112,131787,227495,0,185210,304572,25501,188.2690047,40793,42,74.11,3.57,100,NA
2025-2026,April,02,ANDHRA PRADESH,0210,CHITTOOR,798152,273.444635984245,6,184,0,319,132,50903,102317,26000,109153,3130,13399,5,284.7803482,16278,21319,206556,382868,0,274755,493186,51222,279.7803482,62869,63,55.82,15.33,100,NA
2025-2026,April,02,ANDHRA PRADESH,0212,ANANTAPUR,1095336,287.631875276002,5,178,0,34,283,49009,52083,7804,93365,2533,17276,0,149.8073096,8754,13089,250247,471614,0,321910,598204,49043,149.8073096,29050,50,48.58,23.39,100,NA
2025-2026,April,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,1603631,274.317472895408,6,275,0,109,85,66731,87808,2576,9712,81301,408885,0,240.8726866,13835,19918,227272,446438,0,253436,485536,66840,240.8726866,46157,82,36.9,13.61,100,NA
2025-2026,April,02,ANDHRA PRADESH,0217,ELURU,1171783,298.072856509469,5,294,0,262,178,40693,117283,36011,201120,9921,52763,0,349.588788300001,22602,29771,310830,579296,0,379499,684349,40955,349.588788300001,70633,44,45.36,20.37,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,321.411777614005,4,224,0,4,60,24368,66488,25762,120887,5037,23237,0,213.7002627,14572,19242,171895,317864,0,215023,387744,24372,213.7002627,38386,38,60.03,8.49,100,NA
2025-2026,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,700410,275.870589314457,5,188,0,65,89,36788,115558,23098,66690,3564,12587,0,318.7905356,19528,26266,196124,339222,0,251810,424013,36853,318.7905356,66297,57,45.37,14.36,100,NA
2025-2026,April,02,ANDHRA PRADESH,0226,KAKINADA,770942,256.707314400843,4,219,0,200,182,29195,52115,13837,90772,561,8586,2,135.783016899999,12146,13859,198477,340047,0,293997,480915,29395,133.783016899999,25699,49,32.03,16.33,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,0,0,0,0,0,67,5210,0,0,4254,0,466,0,2.0420776,0,0,30887,49141,0,36259,55678,5210,2.0420776,0,57,0,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,660368.86,1,0,0,26,244,16259,1,0,69322,0,5530,0,6.6036886,1,1,87881,154037,0,136256,228260,16285,6.6036886,1,49,85.08,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,4837.77777777778,1,0,0,14,483,46664,18,3,105962,0,7521,0,0.8708,12,18,256725,503586,0,340969,648185,46678,0.8708,8,41,21.43,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,3104.852,1,0,0,842,376,22721,5,0,113443,0,2238,0,0.1552426,4,5,146994,243830,0,233210,359564,23563,0.1552426,4,40,10.25,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0220,PALNADU,771052,85138.9267647062,1,0,0,139,489,32134,34,33,117058,0,40495,0,28.9472351000001,26,34,250514,451768,0,341969,588322,32273,28.9472351000001,19,30,26.38,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,161076.658333333,2,0,0,36,738,37188,18,0,148832,0,31663,0,28.9937984999999,9,9,214938,384289,0,274792,474647,37224,28.9937984999999,18,47,58.34,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,466076,0,0,0,0,82,300,21504,0,0,71083,0,3206,0,0,0,0,122475,195789,0,168511,259989,21586,0,0,51,13.61,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,283320,0,0,0,0,21,406,24547,0,0,61989,0,1777,0,1.5845848,0,0,131378,226631,0,183419,301587,24568,1.5845848,0,44,0,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,0,0,0,0,469,385,23037,0,0,113436,0,2238,0,0,0,0,146996,243804,0,232997,359214,23506,0,0,40,100,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,3034040,153.945907079871,4,495,0,52,385,46115,98321,14756,72585,2086,17586,0,151.3611553,23214,26783,341827,626570,0,387590,691394,46167,151.3611553,74704,46,23.98,38.58,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,205.930268226853,4,200,0,46,514,43221,59651,14579,193176,928,21177,1.68178,124.5212443,12096,16996,364489,700518,0,451954,833783,43267,122.8394643,34447,35,8.66,6.58,100,NA
2025-2026,April,02,ANDHRA PRADESH,0220,PALNADU,771052,371.521100536318,4,72,0,232,191,32797,32257,7179,117108,2618,40522,0,119.8415614,6721,9726,250723,452127,0,342398,589137,33029,119.8415614,15886,30,48.91,1.72,100,NA
2025-2026,April,02,ANDHRA PRADESH,0202,VIZIANAGARAM,3034040,136.005336818458,4,791,0,74,314,46135,166039,24017,72603,3625,17588,0,225.8219012,37042,42898,341897,626703,0,387617,691462,46209,225.8219012,127257,46,20.6,47.6,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,239.34839953157,4,782,0,64,280,38405,215187,16576,34265,4131,16586,0.5,515.5466405,49399,58571,231568,381157,0,288948,455436,38469,515.0466405,157345,58,26.25,54.98,100,NA
2025-2026,April,02,ANDHRA PRADESH,0219,BAPATLA,917967,276.509668275355,5,157,0,125,137,32092,55739,14020,135901,2129,14614,0,154.123724,9635,13293,205133,382048,0,270627,477580,32217,154.123724,29274,27,50.03,9.31,100,NA
2025-2026,April,02,ANDHRA PRADESH,0220,PALNADU,771052,372.357728005456,4,72,0,232,184,32873,32258,7169,117111,2618,40524,0,120.1151559,6723,9731,250718,452138,0,342524,589373,33105,120.1151559,15885,30,35.59,1.23,100,NA
2025-2026,April,02,ANDHRA PRADESH,0215,ANAKAPALLI,1217190,517.850742705572,2,1,0,61,622,38062,377,19,34201,1,16563,0,1.9522973,179,184,231034,380209,0,288349,454454,38123,1.9522973,329,58,2.87,0.66,100,NA
2025-2026,April,02,ANDHRA PRADESH,0221,NANDYAL,979833,0,0,0,0,3,490,41127,0,0,109629,0,13457,0,0,0,0,205109,396329,0,270760,506596,41130,0,0,42,68.61,0.14,0,NA
2025-2026,April,02,ANDHRA PRADESH,0201,SRIKAKULAM,2725348,220.031044577512,2,33,0,324,848,47653,3006,272,58700,256,39241,0,6.6141332,1468,1663,369679,652665,0,439785,747752,47977,6.6141332,2267,47,5.52,2.36,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,11276.7913043478,1,0,0,69,708,51022,46,16,136340,9,29292,0,5.187324,28,33,268021,469187,0,358880,607413,51091,5.187324,16,42,32.44,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,16627.045,1,0,0,21,452,46862,32,6,105972,0,7523,0,5.3206544,22,31,256723,503654,0,341285,648916,46883,5.3206544,14,40,25.48,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,65950.1138709677,1,0,0,4,257,22984,31,23,120752,0,23214,0,20.4445353,21,28,171657,317298,0,214772,387123,22988,20.4445353,16,40,4.21,0.1,100,NA
2025-2026,April,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,641749,42726.071111111,3,0,0,48,454,37499,9,2,64100,0,24667,0,3.84534639999999,3,5,208867,397045,0,282315,522581,37547,3.84534639999999,5,58,25.97,0.11,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,152980.508947368,1,0,0,49,736,37315,19,1,148829,0,31668,0,29.0662966999999,10,10,214924,384278,0,274739,474602,37364,29.0662966999999,18,46,57.6,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,262.525636427717,8,120,0,6,7,5371,113485,8131,4259,715,467,0,297.927218499995,13985,16849,31065,49559,0,36422,56065,5377,297.927218499995,86746,56,5.19,99.08,100,NA
2025-2026,April,02,ANDHRA PRADESH,0206,KRISHNA,750506,283.027807957329,9,1031,0,146,6,36699,659166,268098,120206,10174,5623,0,1865.62308060001,67750,107083,176266,326005,0,221219,391457,36845,1865.62308060001,364767,25,86.84,92.3,100,NA
2025-2026,April,02,ANDHRA PRADESH,0211,Y.S.R,1024708,258.548903593862,8,823,0,116,32,39662,503080,97296,76569,5155,5269,0,1300.7078242,58205,82086,182859,342553,0,244816,449939,39778,1300.7078242,326507,39,41.8,92.63,100,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,264.599695586086,7,664,0,113,57,48403,342100,67838,106371,6815,7569,5.15,910.3455586,48702,74591,258072,506499,0,341978,650551,48516,905.1955586,187150,40,64,81.95,100,NA
2025-2026,April,02,ANDHRA PRADESH,0220,PALNADU,771052,296.179355885769,7,211,0,297,63,33783,134324,26932,117260,12600,40655,0,397.839958000001,17722,26601,251511,453510,0,343112,590422,34080,397.839958000001,66120,30,59.85,63.8,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,240.458918186987,7,394,0,140,201,52680,283219,72696,136453,10595,29295,0,681.025343500004,39633,50814,268328,469753,0,359236,608173,52820,681.025343500004,182826,41,41,58.3,100,NA
2025-2026,April,02,ANDHRA PRADESH,0217,ELURU,1171783,284.983668600257,7,845,0,264,60,41648,469765,147293,201452,39339,52843,0,1338.7535308,61262,84709,311550,580661,0,379826,685087,41912,1338.7535308,281988,43,48.55,80.42,100,NA
2025-2026,April,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,641749,282.049034448076,7,292,0,93,80,38610,127264,15936,64141,5114,24690,0,358.9468832,16850,25260,209201,397720,0,282527,523113,38703,358.9468832,69228,58,64.93,83,100,NA
2025-2026,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,700410,271.508183149926,8,389,0,84,25,37872,341316,70336,66809,13525,12629,0,926.700870400001,41270,55517,196601,340174,0,252156,424790,37956,926.700870400001,200086,57,55.9,75.35,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,294.610854142845,6,517,0,180,99,38488,277237,108440,148959,17793,31707,0,816.770293699999,41263,51724,215265,384815,0,274737,474607,38668,816.770293699999,186410,46,33.91,91.15,100,NA
2025-2026,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,283320,256.076006671889,8,493,0,625,8,25522,319250,91222,62614,2721,1829,6,823.522651300004,36871,47583,132718,229099,0,185642,305404,26147,817.522651300004,186752,42,76.52,80.25,100,NA
2025-2026,April,02,ANDHRA PRADESH,0206,KRISHNA,750506,218.14661187579,12,1247,0,146,5,38502,1057597,426515,120671,15362,5648,0,2307.1120228,84137,135624,177325,327817,0,221473,391945,38648,2307.1120228,581100,24,87.77,93.81,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,206.651993808275,7,443,0,140,192,52985,358866,90608,136492,14108,29319,0,741.603744100003,45163,58300,268463,470047,0,359300,608352,53125,741.603744100003,230923,41,39.5,57.68,100,NA
2025-2026,April,02,ANDHRA PRADESH,0211,Y.S.R,1024708,258.62816474434,10,948,0,125,25,40107,732966,139905,76665,8198,5281,0,1895.656514,67498,96383,183200,343242,0,245082,450541,40232,1895.656514,475689,39,40.84,94.5,100,NA
2025-2026,April,02,ANDHRA PRADESH,0217,ELURU,1171783,253.276900732429,9,941,0,282,49,41885,629823,193959,201604,56877,52877,0,1595.1961745,69721,97037,311869,581221,0,379933,685305,42167,1595.1961745,379538,43,49.11,83.04,100,NA
2025-2026,April,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,641749,220.214540123617,8,519,0,93,48,39003,249317,31828,64192,11796,24736,0,549.032284999999,27988,43197,209612,398491,0,282576,523217,39096,549.032284999999,135917,58,57.29,84.55,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,248.598974856202,8,649,0,246,74,38783,441938,170708,149057,31492,31753,0,1098.6533375,50098,63767,215499,385214,0,274755,474651,39029,1098.6533375,296642,46,31.9,92.11,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,249.773366318863,9,137,0,8,4,5451,167144,13229,4262,774,467,0,417.4811954,17197,21080,31102,49666,0,36481,56207,5459,417.4811954,126263,56,4.7,99.28,100,NA
2025-2026,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,466076,268.099788955435,9,869,0,978,7,21905,327419,121377,71370,7280,3238,0,877.809647999995,35208,40491,123142,196857,0,169206,261114,22883,877.809647999995,186070,49,42.03,88.77,100,NA
2025-2026,April,02,ANDHRA PRADESH,0206,KRISHNA,750506,267.676406297991,13,1293,0,146,3,38558,1162339,458976,120748,16981,5650,0,3111.30726420001,88626,143673,177511,328129,0,221544,392067,38704,3111.30726420001,637920,24,87.43,94.05,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,175.27414545385,8,501,0,145,174,53073,469881,120618,136561,18016,29347,0,823.579907400003,52806,69006,268647,470364,0,359317,608398,53218,823.579907400003,302598,41,41.65,62.45,100,NA
2025-2026,April,02,ANDHRA PRADESH,0217,ELURU,1171783,255.341860302498,9,1104,0,292,38,41993,776535,242650,201682,69107,52897,0,1982.8189149,80912,114210,312077,581642,0,379978,685423,42285,1982.8189149,464496,43,48.35,84.66,100,NA
